time_s,raw,ma_only,ma_spike,spike_flag,dA_raw,dA_ma_only,dA_ma_spike
23.5269,1.734900,1.740800,1.740800,0,1.734900,1.740800,1.740800
23.6536,1.773200,1.750040,1.750040,0,1.773200,1.750040,1.750040
23.7792,1.753600,1.749720,1.749720,0,1.753600,1.749720,1.749720
23.9067,1.792700,1.759100,1.759100,0,1.792700,1.759100,1.759100
24.0332,1.888100,1.788500,1.788500,0,1.888100,1.788500,1.788500
24.1577,1.878700,1.817260,1.817260,0,1.878700,1.817260,1.817260
24.2842,1.869300,1.836480,1.836480,0,1.869300,1.836480,1.836480
24.4099,1.844300,1.854620,1.854620,0,1.844300,1.854620,1.854620
24.5370,1.892800,1.874640,1.874640,0,1.892800,1.874640,1.874640
24.6618,1.900600,1.877140,1.877140,0,1.900600,1.877140,1.877140
24.7896,1.867000,1.874800,1.874800,0,1.867000,1.874800,1.874800
24.9147,1.934800,1.887900,1.887900,0,1.934800,1.887900,1.887900
25.0391,1.885000,1.896040,1.896040,0,1.885000,1.896040,1.896040
25.1659,1.895900,1.896660,1.896660,0,1.895900,1.896660,1.896660
25.2934,1.977200,1.911980,1.911980,0,1.977200,1.911980,1.911980
25.4176,1.971000,1.932780,1.932780,0,1.971000,1.932780,1.932780
25.5435,2.032000,1.952220,1.952220,0,2.032000,1.952220,1.952220
25.6992,1.975700,1.970360,1.970360,0,1.975700,1.970360,1.970360
25.8561,1.983500,1.987880,1.987880,0,1.983500,1.987880,1.987880
25.9817,2.041400,2.000720,2.000720,0,2.041400,2.000720,2.000720
26.1076,2.002300,2.006980,2.006980,0,2.002300,2.006980,2.006980
26.2638,1.994500,1.999480,1.999480,0,1.994500,1.999480,1.999480
26.4194,2.032000,2.010740,2.010740,0,2.032000,2.010740,2.010740
26.6059,2.058600,2.025760,2.025760,0,2.058600,2.025760,2.025760
26.7618,2.078100,2.033100,2.033100,0,2.078100,2.033100,2.033100
26.8870,2.068700,2.046380,2.046380,0,2.068700,2.046380,2.046380
27.0164,2.051500,2.057780,2.057780,0,2.051500,2.057780,2.057780
27.1399,2.051500,2.061680,2.061680,0,2.051500,2.061680,2.061680
27.2660,2.004600,2.050880,2.050880,0,2.004600,2.050880,2.050880
27.3934,2.095000,2.054260,2.054260,0,2.095000,2.054260,2.054260
27.5175,2.096900,2.059900,2.059900,0,2.096900,2.059900,2.059900
27.6432,2.087500,2.067100,2.067100,0,2.087500,2.067100,2.067100
27.7705,2.181300,2.093060,2.093060,0,2.181300,2.093060,2.093060
27.8953,2.111700,2.114480,2.114480,0,2.111700,2.114480,2.114480
28.0243,2.166500,2.128780,2.128780,0,2.166500,2.128780,2.128780
28.1490,2.143800,2.138160,2.138160,0,2.143800,2.138160,2.138160
28.2737,2.143800,2.149420,2.149420,0,2.143800,2.149420,2.149420
28.4030,2.148500,2.142860,2.142860,0,2.148500,2.142860,2.142860
28.5268,2.111000,2.142720,2.142720,0,2.111000,2.142720,2.142720
28.6514,2.139100,2.137240,2.137240,0,2.139100,2.137240,2.137240
28.7772,2.181300,2.144740,2.144740,0,2.181300,2.144740,2.144740
28.9042,2.120400,2.140060,2.140060,0,2.120400,2.140060,2.140060
29.0300,2.120400,2.134440,2.134440,0,2.120400,2.134440,2.134440
29.1559,2.153200,2.142880,2.142880,0,2.153200,2.142880,2.142880
29.2820,2.147700,2.144600,2.144600,0,2.147700,2.144600,2.144600
29.4115,2.209500,2.150240,2.150240,0,2.209500,2.150240,2.150240
29.5340,2.179400,2.162040,2.162040,0,2.179400,2.162040,2.162040
29.6593,2.170000,2.171960,2.171960,0,2.170000,2.171960,2.171960
29.7858,2.242300,2.189780,2.189780,0,2.242300,2.189780,2.189780
29.9135,2.260300,2.212300,2.212300,0,2.260300,2.212300,2.212300
30.0380,2.242300,2.218860,2.218860,0,2.242300,2.218860,2.218860
30.1631,2.265800,2.236140,2.236140,0,2.265800,2.236140,2.236140
30.2903,2.242300,2.250600,2.250600,0,2.242300,2.250600,2.250600
30.4163,2.265800,2.255300,2.255300,0,2.265800,2.255300,2.255300
30.5417,2.259200,2.255080,2.255080,0,2.259200,2.255080,2.255080
30.6672,2.261100,2.258840,2.258840,0,2.261100,2.258840,2.258840
30.7941,2.284600,2.262600,2.262600,0,2.284600,2.262600,2.262600
30.9201,2.212300,2.256600,2.256600,0,2.212300,2.256600,2.256600
31.0458,2.229800,2.249400,2.249400,0,2.229800,2.249400,2.249400
31.1716,2.287300,2.255020,2.255020,0,2.287300,2.255020,2.255020
31.2974,2.301400,2.263080,2.263080,0,2.301400,2.263080,2.263080
31.4245,2.312700,2.268700,2.268700,0,2.312700,2.268700,2.268700
31.5496,2.312000,2.288640,2.288640,0,2.312000,2.288640,2.288640
31.6759,2.354200,2.313520,2.313520,0,2.354200,2.313520,2.313520
31.8013,2.298600,2.315780,2.315780,0,2.298600,2.315780,2.315780
31.9276,2.340900,2.323680,2.323680,0,2.340900,2.323680,2.323680
32.0538,2.357700,2.332680,2.332680,0,2.357700,2.332680,2.332680
32.1792,2.387800,2.347840,2.347840,0,2.387800,2.347840,2.347840
32.3058,2.369000,2.350800,2.350800,0,2.369000,2.350800,2.350800
32.4324,2.377600,2.366600,2.366600,0,2.377600,2.366600,2.366600
32.5592,2.382300,2.374880,2.374880,0,2.382300,2.374880,2.374880
32.6834,2.359600,2.375260,2.375260,0,2.359600,2.375260,2.375260
32.8094,2.348300,2.367360,2.367360,0,2.348300,2.367360,2.367360
32.9362,2.406600,2.374880,2.374880,0,2.406600,2.374880,2.374880
33.0622,2.373700,2.374100,2.374100,0,2.373700,2.374100,2.374100
33.1872,2.415200,2.380680,2.380680,0,2.415200,2.380680,2.380680
33.3138,2.387800,2.386320,2.386320,0,2.387800,2.386320,2.386320
33.4392,2.415900,2.399840,2.399840,0,2.415900,2.399840,2.399840
33.5656,2.438600,2.406240,2.406240,0,2.438600,2.406240,2.406240
33.6910,2.462100,2.423920,2.423920,0,2.462100,2.423920,2.423920
33.8180,2.457400,2.432360,2.432360,0,2.457400,2.432360,2.432360
33.9453,2.476200,2.450040,2.450040,0,2.476200,2.450040,2.450040
34.0700,2.513700,2.469600,2.469600,0,2.513700,2.469600,2.469600
34.1968,2.535500,2.488980,2.488980,0,2.535500,2.488980,2.488980
34.3217,2.510500,2.498660,2.498660,0,2.510500,2.498660,2.498660
34.4472,2.470300,2.501240,2.501240,0,2.470300,2.501240,2.501240
34.5746,2.486300,2.503260,2.503260,0,2.486300,2.503260,2.503260
34.6999,2.465600,2.493640,2.493640,0,2.465600,2.493640,2.493640
34.8257,2.489100,2.484360,2.484360,0,2.489100,2.484360,2.484360
34.9520,2.514500,2.485160,2.485160,0,2.514500,2.485160,2.485160
35.0776,2.541800,2.499460,2.499460,0,2.541800,2.499460,2.499460
35.2037,2.513700,2.504940,2.504940,0,2.513700,2.504940,2.504940
35.3301,2.590300,2.529880,2.529880,0,2.590300,2.529880,2.529880
35.4563,2.551200,2.542300,2.542300,0,2.551200,2.542300,2.542300
35.5822,2.528500,2.545100,2.545100,0,2.528500,2.545100,2.545100
35.7073,2.568800,2.550500,2.550500,0,2.568800,2.550500,2.550500
35.8337,2.575500,2.562860,2.562860,0,2.575500,2.562860,2.562860
35.9625,2.566100,2.558020,2.558020,0,2.566100,2.558020,2.558020
36.0864,2.584100,2.564600,2.564600,0,2.584100,2.564600,2.564600
36.2115,2.621600,2.583220,2.583220,0,2.621600,2.583220,2.583220
36.3381,2.574700,2.584400,2.584400,0,2.574700,2.584400,2.584400
36.4653,2.584100,2.586120,2.586120,0,2.584100,2.586120,2.586120
36.5900,2.602800,2.593460,2.593460,0,2.602800,2.593460,2.593460
36.7159,2.593500,2.595340,2.595340,0,2.593500,2.595340,2.595340
36.8425,2.598100,2.590640,2.590640,0,2.598100,2.590640,2.590640
36.9682,2.598100,2.595320,2.595320,0,2.598100,2.595320,2.595320
37.0935,2.590300,2.596560,2.596560,0,2.590300,2.596560,2.596560
37.2200,2.613800,2.598760,2.598760,0,2.613800,2.598760,2.598760
37.3455,2.602800,2.600620,2.600620,0,2.602800,2.600620,2.600620
37.4719,2.612200,2.603440,2.603440,0,2.612200,2.603440,2.603440
37.5972,2.599700,2.603760,2.603760,0,2.599700,2.603760,2.603760
37.7241,2.681000,2.621900,2.621900,0,2.681000,2.621900,2.621900
37.8502,2.637200,2.626580,2.626580,0,2.637200,2.626580,2.626580
37.9784,2.637200,2.633460,2.633460,0,2.637200,2.633460,2.633460
38.1024,2.641900,2.639400,2.639400,0,2.641900,2.639400,2.639400
38.2287,2.637200,2.646900,2.646900,0,2.637200,2.646900,2.646900
38.3541,2.621600,2.635020,2.635020,0,2.621600,2.635020,2.635020
38.4802,2.671600,2.641900,2.641900,0,2.671600,2.641900,2.641900
38.6058,2.618500,2.638160,2.638160,0,2.618500,2.638160,2.638160
38.7322,2.660700,2.641920,2.641920,0,2.660700,2.641920,2.641920
38.8579,2.670100,2.648500,2.648500,0,2.670100,2.648500,2.648500
38.9840,2.665400,2.657260,2.657260,0,2.665400,2.657260,2.657260
39.1114,2.679400,2.658820,2.658820,0,2.679400,2.658820,2.658820
39.2359,2.673200,2.669760,2.669760,0,2.673200,2.669760,2.669760
39.3613,2.670100,2.671640,2.671640,0,2.670100,2.671640,2.671640
