time_s,raw,ma_only,ma_spike,spike_flag,dA_raw,dA_ma_only,dA_ma_spike
14.9549,0.919300,0.919740,0.919740,0,1.142527,1.142808,1.142808
15.0831,0.942700,0.932720,0.932720,0,1.157513,1.151115,1.151115
15.2112,0.950200,0.934060,0.934060,0,1.162327,1.151974,1.151974
15.3393,0.916100,0.928580,0.928580,0,1.140482,1.148464,1.148464
15.4668,0.963000,0.938260,0.938260,0,1.170556,1.154666,1.154666
15.5965,0.954900,0.945380,0.945380,0,1.165347,1.159233,1.159233
15.7274,0.967700,0.950380,0.950380,0,1.173582,1.162443,1.162443
15.8512,1.014600,0.963260,0.963260,0,1.203900,1.170724,1.170724
15.9798,1.020600,0.984160,0.984160,0,1.207796,1.184196,1.184196
16.1106,1.060800,1.003720,1.003720,0,1.234004,1.196846,1.196846
16.2353,0.999000,1.012540,1.012540,0,1.193790,1.202564,1.202564
16.3631,1.001800,1.019360,1.019360,0,1.195602,1.206990,1.206990
16.4913,1.073300,1.031100,1.031100,0,1.242192,1.214623,1.214623
16.6204,1.035800,1.034140,1.034140,0,1.217683,1.216602,1.216602
16.7475,1.078000,1.037580,1.037580,0,1.245276,1.218843,1.218843
16.8756,1.069400,1.051660,1.051660,0,1.239635,1.228029,1.228029
17.0036,1.129600,1.077220,1.077220,0,1.279315,1.244764,1.244764
17.1313,1.129600,1.088480,1.088480,0,1.279315,1.252162,1.252162
17.2601,1.157800,1.112880,1.112880,0,1.298068,1.268248,1.268248
17.3878,1.143700,1.126020,1.126020,0,1.288678,1.276942,1.276942
17.5157,1.157800,1.143700,1.143700,0,1.298068,1.288678,1.288678
17.6433,1.143700,1.146520,1.146520,0,1.288678,1.290554,1.290554
17.7717,1.113200,1.143240,1.143240,0,1.268459,1.288372,1.288372
17.8992,1.201500,1.151980,1.151980,0,1.327349,1.294188,1.294188
18.0269,1.201500,1.163540,1.163540,0,1.327349,1.301898,1.301898
18.1550,1.167200,1.165420,1.165420,0,1.304343,1.303154,1.303154
18.2837,1.167200,1.170120,1.170120,0,1.304343,1.306295,1.306295
18.4108,1.157800,1.179040,1.179040,0,1.298068,1.312265,1.312265
18.5427,1.195300,1.177800,1.177800,0,1.323177,1.311434,1.311434
18.6672,1.186700,1.174840,1.174840,0,1.317401,1.309452,1.309452
18.7957,1.194200,1.180240,1.180240,0,1.322438,1.313069,1.313069
18.9230,1.232800,1.193360,1.193360,0,1.348495,1.321873,1.321873
19.0516,1.250000,1.211800,1.211800,0,1.360180,1.334291,1.334291
19.1798,1.306200,1.233980,1.233980,0,1.398693,1.349295,1.349295
19.3074,1.334300,1.263500,1.263500,0,1.418149,1.369384,1.369384
19.4369,1.309500,1.286560,1.286560,0,1.400971,1.385174,1.385174
19.5629,1.286000,1.297200,1.297200,0,1.384790,1.392490,1.392490
19.6922,1.390600,1.325320,1.325320,0,1.457553,1.411916,1.411916
19.8197,1.357900,1.335660,1.335660,0,1.434596,1.419094,1.419094
19.9475,1.362600,1.341320,1.341320,0,1.437884,1.423031,1.423031
20.0753,1.328200,1.345060,1.345060,0,1.413914,1.425635,1.425635
20.2036,1.400000,1.367860,1.367860,0,1.464189,1.441568,1.441568
20.3313,1.409500,1.371640,1.371640,0,1.470913,1.444218,1.444218
20.4589,1.395400,1.379140,1.379140,0,1.460940,1.449485,1.449485
20.5901,1.337600,1.374140,1.374140,0,1.420443,1.445973,1.445973
20.7158,1.409500,1.390400,1.390400,0,1.470913,1.457412,1.457412
20.8439,1.381400,1.386680,1.386680,0,1.451074,1.454791,1.454791
20.9713,1.354800,1.375740,1.375740,0,1.432430,1.447096,1.447096
21.1026,1.374400,1.371540,1.371540,0,1.446155,1.444148,1.444148
21.2279,1.422100,1.388440,1.388440,0,1.479858,1.456031,1.456031
21.3557,1.401700,1.386880,1.386880,0,1.465391,1.454932,1.454932
21.4830,1.379800,1.386560,1.386560,0,1.449949,1.454706,1.454706
21.6109,1.440800,1.403760,1.403760,0,1.493189,1.466848,1.466848
21.7421,1.470500,1.422980,1.422980,0,1.514506,1.480483,1.480483
21.8685,1.469000,1.432360,1.432360,0,1.513425,1.487164,1.487164
21.9959,1.444700,1.440960,1.440960,0,1.495978,1.493304,1.493304
22.1238,1.512700,1.467540,1.467540,0,1.545105,1.512373,1.512373
22.2555,1.491700,1.477720,1.477720,0,1.529832,1.519715,1.519715
22.3791,1.468200,1.477260,1.477260,0,1.512849,1.519383,1.519383
22.5078,1.542500,1.491960,1.491960,0,1.566941,1.530020,1.530020
22.6376,1.539400,1.510900,1.510900,0,1.564660,1.543792,1.543792
22.7632,1.501000,1.508560,1.508560,0,1.536584,1.542087,1.542087
22.8915,1.501000,1.510420,1.510420,0,1.536584,1.543443,1.543443
23.0197,1.580000,1.532780,1.532780,0,1.594695,1.559797,1.559797
23.1484,1.591000,1.542480,1.542480,0,1.602896,1.566926,1.566926
23.2756,1.611100,1.556820,1.556820,0,1.617954,1.577502,1.577502
23.4055,1.662700,1.589160,1.589160,0,1.657044,1.601522,1.601522
23.5318,1.653500,1.619660,1.619660,0,1.650028,1.624395,1.624395
23.6597,1.639400,1.631540,1.631540,0,1.639314,1.633363,1.633363
23.7875,1.672100,1.647760,1.647760,0,1.664234,1.645661,1.645661
23.9163,1.714300,1.668400,1.668400,0,1.696782,1.661401,1.661401
24.0439,1.714300,1.678720,1.678720,0,1.696782,1.669311,1.669311
24.1732,1.681500,1.684320,1.684320,0,1.671446,1.673613,1.673613
24.2998,1.700300,1.696500,1.696500,0,1.685935,1.682999,1.682999
24.4273,1.731300,1.708340,1.708340,0,1.710021,1.692158,1.692158
24.5555,1.677000,1.700880,1.700880,0,1.667991,1.686383,1.686383
24.6848,1.670700,1.692160,1.692160,0,1.663162,1.679651,1.679651
24.8119,1.722300,1.700320,1.700320,0,1.703003,1.685950,1.685950
24.9395,1.733300,1.706920,1.706920,0,1.711584,1.691058,1.691058
25.0672,1.798800,1.720420,1.720420,0,1.763332,1.701540,1.701540
25.1956,1.780200,1.741060,1.741060,0,1.748521,1.717655,1.717655
25.3243,1.808300,1.768580,1.768580,0,1.770933,1.739315,1.739315
25.4518,1.845700,1.793260,1.793260,0,1.801097,1.758911,1.758911
25.5802,1.855100,1.817620,1.817620,0,1.808740,1.778413,1.778413
